zone_key,mode,emission_factor,datetime,source
US-CAR-CPLE,gas,394.223375,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-CAR-DUK,coal,856.3493858,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-CAR-DUK,gas,396.0379906,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-CAR-SC,biomass,53.68073353,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-CAR-SC,coal,1072.534134,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-CAR-SC,gas,442.9124649,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-CAR-SCEG,biomass,90.54773858,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-CAR-SCEG,coal,849.2213607,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-CAR-SCEG,gas,407.4177138,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-CENT-SPA,coal,987.9224617,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-CENT-SWPP,biomass,66.69147532,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-CENT-SWPP,coal,1014.421382,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-CENT-SWPP,gas,459.9267888,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-CENT-SWPP,oil,975.0111176,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-FLA-FMPP,coal,768.4856555,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-FLA-FMPP,gas,446.015972,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-FLA-FPC,biomass,572.1600047,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-FLA-FPC,coal,521.6312947,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-FLA-FPC,gas,423.934686,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-FLA-FPC,oil,1162.940076,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-FLA-FPL,biomass,902.3445824,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-FLA-FPL,gas,367.4893706,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-FLA-FPL,oil,390.0504417,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-FLA-GVL,biomass,424.0835095,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-FLA-GVL,coal,877.6982215,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-FLA-GVL,gas,457.6172075,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-FLA-JEA,biomass,82.16971627,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
US-FLA-JEA,gas,612.0220147,2020-01-01,eGrid 2020: https://drive.google.com/file/d/1_FAAuTtIdMuORZKsqHnd9vMNHlQgYarh/view?usp=sharing
